iter	Passed	Remaining
471	712	797
472	713	795
473	714	792
474	715	790
475	715	788
476	718	787
477	719	785
478	721	784
479	722	783
480	724	781
481	725	779
482	726	777
483	727	775
484	728	773
485	729	771
486	729	768
487	731	767
488	732	765
489	733	763
490	734	761
491	735	759
492	736	757
493	738	756
494	738	753
495	739	751
496	740	749
497	741	747
498	742	744
499	742	742
500	743	740
501	744	738
502	744	736
503	746	734
504	747	732
505	748	730
506	749	728
507	750	726
508	751	725
509	753	723
510	754	721
511	754	719
512	755	717
513	756	715
514	757	713
515	758	711
516	759	709
517	759	707
518	761	705
519	762	704
520	763	702
521	764	700
522	765	698
523	766	696
524	767	694
525	769	692
526	770	691
527	771	689
528	771	687
529	772	685
530	773	683
531	774	681
532	774	678
533	776	677
534	777	675
535	778	674
536	779	672
537	781	670
538	781	668
539	782	666
540	783	664
541	784	663
542	785	661
543	786	659
544	787	657
545	787	655
546	788	652
547	789	650
548	789	648
549	790	646
550	792	645
551	794	644
552	796	643
553	797	641
554	798	640
555	799	638
556	799	636
557	800	634
558	801	632
559	802	630
560	802	628
561	803	626
562	804	624
563	805	622
564	805	620
565	807	619
566	811	619
567	812	618
568	813	616
569	814	614
570	815	612
571	816	610
572	816	608
573	817	606
574	818	604
575	818	602
576	819	600
577	820	598
578	821	597
579	822	595
580	824	594
581	825	592
582	826	591
583	827	589
584	828	587
585	829	585
586	829	583
587	830	582
588	831	580
589	832	578
590	832	576
591	833	574
592	834	572
593	835	570
594	835	568
595	839	569
596	841	568
597	842	566
598	843	564
599	844	562
600	844	560
601	845	559
602	846	557
603	847	555
604	848	553
605	848	551
606	849	550
607	850	548
608	852	547
609	854	546
610	855	544
611	857	543
612	857	541
613	858	539
614	860	538
615	861	536
616	862	535
617	862	533
618	863	531
619	864	529
620	865	528
621	866	526
622	868	525
623	869	524
624	870	522
625	871	520
626	872	519
627	873	517
628	874	515
629	875	514
630	876	512
631	876	510
632	877	508
633	878	507
634	879	505
635	880	503
636	881	502
637	886	502
638	887	501
639	888	499
640	889	498
641	890	496
642	891	495
643	892	493
644	893	491
645	894	490
646	895	488
647	895	486
648	899	486
649	900	485
650	901	483
651	902	481
652	903	480
653	904	478
654	905	476
655	906	475
656	907	473
657	907	471
658	908	470
659	909	468
660	910	466
661	911	465
662	912	463
663	913	462
664	914	460
665	915	459
666	916	457
667	917	456
668	918	454
669	919	452
670	920	451
671	921	449
672	922	448
673	922	446
674	923	444
675	924	442
676	924	441
677	925	439
678	926	437
679	926	436
680	928	435
681	930	433
682	931	432
683	932	430
684	933	429
685	933	427
686	934	425
687	935	424
688	936	422
689	937	421
690	937	419
691	938	417
692	939	416
693	940	414
694	941	412
695	941	411
696	943	409
697	944	408
698	945	407
699	946	405
700	947	404
701	948	402
702	949	401
703	950	399
704	951	397
705	951	396
706	952	394
707	953	393
708	954	391
709	954	389
710	955	388
711	956	386
712	957	385
713	958	384
714	960	382
715	961	381
716	962	379
717	963	378
718	963	376
719	964	375
720	965	373
721	966	372
722	966	370
723	967	368
724	968	367
725	969	365
726	969	364
727	970	362
728	971	361
729	972	359
730	973	358
731	974	356
732	976	355
733	977	354
734	978	352
735	979	351
736	980	349
737	981	348
738	982	346
739	983	345
740	983	343
741	984	342
742	985	340
743	986	339
744	986	337
745	987	336
746	989	335
747	990	333
748	991	332
749	992	330
750	993	329
751	994	328
752	995	326
753	996	325
754	996	323
755	997	321
756	998	320
757	999	318
758	999	317
759	1000	315
760	1001	314
761	1001	312
762	1002	311
763	1003	310
764	1005	308
765	1006	307
766	1007	306
767	1008	304
768	1009	303
769	1010	301
770	1010	300
771	1011	298
772	1012	297
773	1013	295
774	1013	294
775	1014	292
776	1015	291
777	1016	289
778	1016	288
779	1017	287
780	1020	286
781	1022	284
782	1023	283
783	1023	282
784	1024	280
785	1025	279
786	1027	278
787	1028	276
788	1028	275
789	1029	273
790	1030	272
791	1031	270
792	1033	269
793	1034	268
794	1035	267
795	1037	265
796	1039	264
797	1040	263
798	1041	261
799	1042	260
800	1043	259
801	1043	257
802	1044	256
803	1045	254
804	1046	253
805	1048	252
806	1050	251
807	1052	250
808	1053	248
809	1054	247
810	1055	245
811	1055	244
812	1056	243
813	1057	241
814	1058	240
815	1059	238
816	1059	237
817	1060	236
818	1061	234
819	1062	233
820	1067	232
821	1070	231
822	1071	230
823	1073	229
824	1073	227
825	1076	226
826	1077	225
827	1082	224
828	1084	223
829	1085	222
830	1087	221
831	1088	219
832	1089	218
833	1090	217
834	1091	215
835	1092	214
836	1092	212
837	1094	211
838	1096	210
839	1098	209
840	1099	207
841	1100	206
842	1101	205
843	1102	203
844	1102	202
845	1103	200
846	1104	199
847	1105	198
848	1106	196
849	1107	195
850	1109	194
851	1111	193
852	1112	191
853	1113	190
854	1114	189
855	1115	187
856	1116	186
857	1116	184
858	1117	183
859	1118	182
860	1119	180
861	1121	179
862	1122	178
863	1123	176
864	1124	175
865	1126	174
866	1127	172
867	1128	171
868	1129	170
869	1129	168
870	1130	167
871	1131	166
872	1132	164
873	1133	163
874	1134	162
875	1135	160
876	1135	159
877	1136	157
878	1137	156
879	1138	155
880	1140	154
881	1142	152
882	1143	151
883	1144	150
884	1145	148
885	1146	147
886	1147	146
887	1148	144
888	1148	143
889	1149	142
890	1150	140
891	1151	139
892	1151	138
893	1152	136
894	1153	135
895	1154	134
896	1156	132
897	1157	131
898	1158	130
899	1159	128
900	1160	127
901	1161	126
902	1162	124
903	1163	123
904	1163	122
905	1164	120
906	1165	119
907	1166	118
908	1167	116
909	1168	115
910	1169	114
911	1170	112
912	1172	111
913	1173	110
914	1174	109
915	1175	107
916	1176	106
917	1177	105
918	1178	103
919	1178	102
920	1179	101
921	1180	99
922	1181	98
923	1181	97
924	1182	95
925	1183	94
926	1185	93
927	1188	92
928	1189	90
929	1190	89
930	1191	88
931	1192	87
932	1193	85
933	1193	84
934	1194	83
935	1195	81
936	1196	80
937	1196	79
938	1197	77
939	1198	76
940	1200	75
941	1202	74
942	1203	72
943	1204	71
944	1204	70
945	1205	68
946	1206	67
947	1207	66
948	1207	64
949	1208	63
950	1209	62
951	1210	61
952	1211	59
953	1211	58
954	1212	57
955	1213	55
956	1214	54
957	1216	53
958	1217	52
959	1218	50
960	1219	49
961	1220	48
962	1221	46
963	1222	45
964	1222	44
965	1223	43
966	1224	41
967	1225	40
968	1225	39
969	1226	37
970	1227	36
971	1228	35
972	1229	34
973	1231	32
974	1233	31
975	1234	30
976	1235	29
977	1236	27
978	1237	26
979	1237	25
980	1238	23
981	1239	22
982	1239	21
983	1240	20
984	1241	18
985	1242	17
986	1242	16
987	1243	15
988	1245	13
989	1246	12
990	1247	11
991	1248	10
992	1249	8
993	1250	7
994	1251	6
995	1252	5
996	1253	3
997	1253	2
998	1254	1
999	1255	0
